unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling
1607385600,2020-12-08 00:00:00,19166.9,19294.84,18200.0,18324.11,1160658077.404659,BTCUSD,793.234501,943.356945,-150.122444,53.49,280714.132,133427.044,-13860.043999999994,-497545.165,-245247.611
1607472000,2020-12-09 00:00:00,18324.11,18639.57,17650.0,18541.28,1450130664.0645845,BTCUSD,719.918369,898.66923,-178.750861,54.98,353123.689,178303.953,3484.217000000004,-494060.948,-231389.415
1607558400,2020-12-10 00:00:00,18541.29,18557.32,17911.12,18254.63,966149529.000607,BTCUSD,631.406091,845.216602,-213.810511,52.58,233960.241,116243.722,-1472.7970000000205,-495533.745,-218026.304
1607644800,2020-12-11 00:00:00,18254.81,18292.73,17572.33,18036.53,1301081647.3079,BTCUSD,537.465062,783.666294,-246.201232,50.77,317866.07,160142.007,2417.9440000000177,-493115.801,-193939.22
1607731200,2020-12-12 00:00:00,18036.53,18948.66,18020.7,18808.69,915552835.9061832,BTCUSD,519.336393,730.800314,-211.463921,56.49,196962.282,106123.938,15285.593999999985,-477830.207,-153654.211
1607817600,2020-12-13 00:00:00,18808.69,19411.0,18711.12,19174.99,1083520569.094854,BTCUSD,528.435168,690.327285,-161.892116,58.93,239760.089,121821.87,3883.650999999984,-473946.556,-136890.502
1607904000,2020-12-14 00:00:00,19174.99,19349.0,19000.0,19273.14,906101687.739595,BTCUSD,537.371415,659.736111,-122.364696,59.58,181555.823,90220.454,-1114.915000000008,-475061.471,-115106.898
1607990400,2020-12-15 00:00:00,19273.69,19570.0,19050.0,19426.43,1196361527.9258018,BTCUSD,550.47712,637.884313,-87.407193,60.63,248744.054,122075.043,-4593.9679999999935,-479655.439,-93652.53
1608076800,2020-12-16 00:00:00,19426.43,21560.0,19278.6,21335.52,2325135958.641841,BTCUSD,706.763958,651.660242,55.103716,70.83,459302.012,241794.889,24287.766000000003,-455367.673,-21321.726
1608163200,2020-12-17 00:00:00,21335.52,23800.0,21230.0,22797.16,4196645567.4258766,BTCUSD,937.754683,708.87913,228.875553,75.96,823435.821,410694.991,-2045.8390000000363,-457413.512,-8250.658
1608249600,2020-12-18 00:00:00,22797.15,23285.18,22350.0,23107.39,1820875361.2945976,BTCUSD,1132.791352,793.661574,339.129778,76.89,305997.222,151397.139,-3202.9440000000177,-460616.456,-1736.347
1608336000,2020-12-19 00:00:00,23107.39,24171.47,22750.0,23821.61,2018969878.8868675,BTCUSD,1329.663371,900.861934,428.801437,78.91,337535.438,167811.299,-1912.8400000000256,-462529.296,-9166.735
1608422400,2020-12-20 00:00:00,23821.6,24295.0,23060.0,23455.52,1810862074.730308,BTCUSD,1439.55121,1008.599789,430.951421,75.27,322289.774,155605.498,-11078.777999999991,-473608.074,-35727.043
1608508800,2020-12-21 00:00:00,23455.54,24102.77,21815.0,22719.71,2035446293.9289708,BTCUSD,1450.543436,1096.988518,353.554917,68.45,476456.589,231309.94,-13836.708999999972,-487444.783,-33187.497
1608595200,2020-12-22 00:00:00,22719.88,23837.1,22353.4,23810.79,2010758620.2435267,BTCUSD,1529.662889,1183.523393,346.139497,72.44,326124.313,163772.657,1421.0009999999893,-486023.782,-25522.68
1608681600,2020-12-23 00:00:00,23810.79,24100.0,22600.0,23232.76,2797688007.0718794,BTCUSD,1528.108354,1252.440385,275.667969,67.57,394754.939,192721.439,-9312.060999999989,-495335.843,-33753.813
1608768000,2020-12-24 00:00:00,23232.39,23794.43,22703.42,23729.2,1602394244.0767715,BTCUSD,1549.078124,1311.767933,237.310192,69.47,237754.257,120539.758,3325.258999999991,-492010.584,-14644.371
1608854400,2020-12-25 00:00:00,23728.99,24789.86,23433.6,24712.47,1919766316.6677368,BTCUSD,1626.291612,1374.672669,251.618944,72.86,284523.431,144345.703,4167.975000000035,-487842.609,-9606.249
1608940800,2020-12-26 00:00:00,24712.47,26867.03,24500.0,26493.39,2496533065.175581,BTCUSD,1810.320965,1461.802328,348.518637,77.69,367265.555,186138.692,5011.829000000027,-482830.78,-4421.314
1609027200,2020-12-27 00:00:00,26493.4,28422.0,25700.0,26281.66,4028928683.882025,BTCUSD,1916.982926,1552.838447,364.144478,75.96,540264.148,263441.238,-13381.67200000002,-496212.452,-12527.331
1609113600,2020-12-28 00:00:00,26281.54,27500.0,26101.0,27079.41,2151806808.5743523,BTCUSD,2042.342206,1650.739199,391.603007,77.95,267563.468,129242.798,-9077.872000000005,-505290.324,-7745.159
1609200000,2020-12-29 00:00:00,27079.42,27410.0,25880.0,27385.0,1851617219.7682345,BTCUSD,2141.661161,1748.923592,392.73757,78.68,260759.449,126931.719,-6896.010999999999,-512186.335,-18125.387
1609286400,2020-12-30 00:00:00,27385.0,28996.0,27320.0,28875.54,2683953237.460271,BTCUSD,2313.972238,1861.933321,452.038917,81.84,374737.655,185801.158,-3135.3390000000363,-515321.674,-19787.929
1609372800,2020-12-31 00:00:00,28875.55,29300.0,27850.0,28923.63,2173600125.420073,BTCUSD,2426.43998,1974.834653,451.605327,81.93,313648.835,148980.53,-15687.775000000023,-531009.449,-37893.648
1609459200,2021-01-01 00:00:00,28923.63,29600.0,28624.57,29331.69,1582526989.1618726,BTCUSD,2519.455789,2083.75888,435.696909,82.74,210716.398,101247.902,-8220.593999999983,-539230.043,-61399.836
1609545600,2021-01-02 00:00:00,29331.7,33300.0,28946.53,32178.33,4073842163.6715407,BTCUSD,2790.702069,2225.147518,565.554551,87.08,545541.08,273388.463,1235.8460000000196,-537994.197,-64047.641
1609632000,2021-01-03 00:00:00,32176.45,34778.11,31962.99,33000.05,4057598425.492016,BTCUSD,3036.964402,2387.510895,649.453507,88.01,487486.989,238761.657,-9963.674999999988,-547957.872,-72896.401
